cdSeq,name,name_eng,cdAnother,cdUserNy,cdOrder,cdReferencev1,cdReferencev2,cdReferencev3,cdReferencevI1,cdReferencevI2,cdReferencevI3,cdDelNy,shareCodeGroup_ccgSeq
1,남성,man,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,0,1
2,여성,woman,NULL,1,2,NULL,NULL,NULL,NULL,NULL,NULL,0,1
3,선택안함,none,NULL,1,3,NULL,NULL,NULL,NULL,NULL,NULL,0,1
4,네이버,naver.com,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,0,2
5,다음,daum.net,NULL,1,2,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6,지메일,gmail.com,NULL,1,3,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7,구글,google.com,,1,4,,,,,,,0,2
8,KT,KT,,1,1,,,,,,,0,3
9,SKT,SKT,,1,2,,,,,,,0,3
10,LGT,LGT,,1,3,,,,,,,0,3
11,치킨,,,1,1,,,,,,,0,4
12,"족발,보쌈",,,1,2,,,,,,,0,4
13,"찜,탕,찌개",,,1,3,,,,,,,0,4
14,"돈까스,회,일식",,,1,4,,,,,,,0,4
15,피자,,,1,5,,,,,,,0,4
16,"고기,구이",,,1,6,,,,,,,0,4
17,양식,,,1,7,,,,,,,0,4
18,중식,,,1,8,,,,,,,0,4
19,아시안,,,1,9,,,,,,,0,4
20,"백반,죽,국수",,,1,10,,,,,,,0,4
21,도시락,,,1,11,,,,,,,0,4
22,분식,,,1,12,,,,,,,0,4
23,카페디저트,,,1,13,,,,,,,0,4
24,그 외,,,1,14,,,,,,,0,4
25,1인,,,1,1,,,,,,,0,5
26,2인,,,1,2,,,,,,,0,5
27,3인,,,1,3,,,,,,,0,5
28,4인,,,1,4,,,,,,,0,5
29,그 외,,,1,5,,,,,,,0,5
30,아침(09:00 - 11:30),,,1,1,,,,,,,0,6
31,점심(11:31 - 13:30),,,1,2,,,,,,,0,6
32,늦은 점심(13:31 - 17:30),,,1,3,,,,,,,0,6
33,저녁(17:31 - 20:00),,,1,4,,,,,,,0,6
34,늦은 저녁(20:01 - 22:00),,,1,5,,,,,,,0,6
35,야식(22:01 - 24:00),,,1,6,,,,,,,0,6
